Date,Close-Exog
1/1/2019,6.075273
1/2/2019,6.188613
1/3/2019,5.903535
1/4/2019,6.065138
1/5/2019,6.065543
1/6/2019,6.395979
1/7/2019,6.291411
1/8/2019,6.640054
1/9/2019,6.64155
1/10/2019,5.915919
1/11/2019,6.075342
1/12/2019,5.976965
1/13/2019,5.568757
1/14/2019,6.159282
1/15/2019,5.919048
1/16/2019,6.186014
1/17/2019,6.417832
1/18/2019,6.56304
1/19/2019,6.635449
1/20/2019,6.493869
1/21/2019,6.553025
1/22/2019,6.523199
1/23/2019,6.541402
1/24/2019,6.505792
1/25/2019,6.737325
1/26/2019,7.006565
1/27/2019,7.088199
1/28/2019,6.206182
1/29/2019,6.18167
1/30/2019,6.174529
1/31/2019,6.268436
2/1/2019,6.562617
2/2/2019,6.891695
2/3/2019,6.738165
2/4/2019,7.1005
2/5/2019,7.81981
2/6/2019,8.086174
2/7/2019,7.730325
2/8/2019,8.575567
2/9/2019,8.871357
2/10/2019,9.21154
2/11/2019,9.551809
2/12/2019,9.341781
2/13/2019,8.941073
2/14/2019,8.782048
2/15/2019,9.273832
2/16/2019,9.129251
2/17/2019,9.216046
2/18/2019,9.634436
2/19/2019,10.563078
2/20/2019,10.966056
2/21/2019,10.492892
2/22/2019,10.837115
2/23/2019,10.781801
2/24/2019,10.113093
2/25/2019,9.842012
2/26/2019,9.521595
2/27/2019,9.899132
2/28/2019,10.365178
3/1/2019,11.393217
3/2/2019,11.869744
3/3/2019,11.537903
3/4/2019,11.545945
3/5/2019,13.811967
3/6/2019,14.517946
3/7/2019,15.145886
3/8/2019,14.366936
3/9/2019,14.565879
3/10/2019,14.494439
3/11/2019,14.514414
3/12/2019,15.406131
3/13/2019,15.115124
3/14/2019,15.051104
3/15/2019,15.077102
3/16/2019,16.119011
3/17/2019,15.761146
3/18/2019,15.682012
3/19/2019,15.693595
3/20/2019,15.280023
3/21/2019,14.517393
3/22/2019,15.266424
3/23/2019,15.235995
3/24/2019,17.285357
3/25/2019,16.841007
3/26/2019,16.335665
3/27/2019,16.781343
3/28/2019,16.80533
3/29/2019,16.510141
3/30/2019,16.932213
3/31/2019,17.40167
4/1/2019,17.950502
4/2/2019,19.789783
4/3/2019,18.753063
4/4/2019,19.142689
4/5/2019,19.453466
4/6/2019,19.115629
4/7/2019,19.110271
4/8/2019,18.113703
4/9/2019,18.435053
4/10/2019,18.248579
4/11/2019,17.70048
4/12/2019,18.434271
4/13/2019,18.719797
4/14/2019,19.49202
4/15/2019,19.402426
4/16/2019,19.827456
4/17/2019,19.60335
4/18/2019,22.038479
4/19/2019,24.475281
4/20/2019,25.007528
4/21/2019,24.193829
4/22/2019,23.90811
4/23/2019,22.876261
4/24/2019,23.129068
4/25/2019,22.243107
4/26/2019,22.869429
4/27/2019,22.341587
4/28/2019,22.89934
4/29/2019,21.705067
4/30/2019,22.127836
5/1/2019,21.953621
5/2/2019,23.59193
5/3/2019,23.749628
5/4/2019,22.884832
5/5/2019,23.019953
5/6/2019,22.206635
5/7/2019,20.86418
5/8/2019,20.752676
5/9/2019,18.828356
5/10/2019,19.598108
5/11/2019,21.049442
5/12/2019,20.830297
5/13/2019,23.811028
5/14/2019,23.626419
5/15/2019,26.894939
5/16/2019,26.325806
5/17/2019,25.682571
5/18/2019,28.396793
5/19/2019,29.412844
5/20/2019,29.305387
5/21/2019,32.007378
5/22/2019,31.422043
5/23/2019,31.515736
5/24/2019,33.841393
5/25/2019,35.053101
5/26/2019,34.104851
5/27/2019,33.680679
5/28/2019,33.360947
5/29/2019,33.744354
5/30/2019,32.291065
5/31/2019,32.748165
6/1/2019,33.013649
6/2/2019,33.174049
6/3/2019,31.391956
6/4/2019,29.380625
6/5/2019,31.006264
6/6/2019,31.480104
6/7/2019,31.587482
6/8/2019,32.066322
6/9/2019,30.558287
6/10/2019,32.064728
6/11/2019,32.262657
6/12/2019,34.686386
6/13/2019,35.143143
6/14/2019,33.076382
6/15/2019,32.825863
6/16/2019,32.402725
6/17/2019,33.917877
6/18/2019,34.339508
6/19/2019,35.287197
6/20/2019,36.726063
6/21/2019,38.815918
6/22/2019,37.799755
6/23/2019,37.134727
6/24/2019,37.43364
6/25/2019,36.008289
6/26/2019,35.698311
6/27/2019,33.823589
6/28/2019,34.54974
6/29/2019,35.360107
6/30/2019,32.442482
7/1/2019,32.922298
7/2/2019,32.009235
7/3/2019,32.6675
7/4/2019,32.893326
7/5/2019,32.713165
7/6/2019,32.530941
7/7/2019,33.241062
7/8/2019,33.469681
7/9/2019,32.707649
7/10/2019,31.477377
7/11/2019,29.641972
7/12/2019,31.69433
7/13/2019,31.506933
7/14/2019,28.924282
7/15/2019,28.393448
7/16/2019,25.525009
7/17/2019,27.219601
7/18/2019,28.922812
7/19/2019,29.078394
7/20/2019,30.872244
7/21/2019,30.519543
7/22/2019,30.634586
7/23/2019,29.585196
7/24/2019,29.163717
7/25/2019,29.002432
7/26/2019,28.979189
7/27/2019,27.885626
7/28/2019,27.835171
7/29/2019,27.203272
7/30/2019,26.942305
7/31/2019,27.644558
8/1/2019,28.773273
8/2/2019,28.038483
8/3/2019,27.88986
8/4/2019,27.556162
8/5/2019,28.011879
8/6/2019,27.638088
8/7/2019,29.354368
8/8/2019,30.832846
8/9/2019,29.961473
8/10/2019,29.681858
8/11/2019,30.057255
8/12/2019,30.166882
8/13/2019,29.466278
8/14/2019,27.105581
8/15/2019,28.043447
8/16/2019,27.644571
8/17/2019,27.480522
8/18/2019,27.932446
8/19/2019,28.809004
8/20/2019,28.16749
8/21/2019,26.993715
8/22/2019,27.089191
8/23/2019,27.17053
8/24/2019,26.495663
8/25/2019,26.131847
8/26/2019,26.10833
8/27/2019,25.688978
8/28/2019,23.702868
8/29/2019,21.889606
8/30/2019,22.218857
8/31/2019,21.265915
9/1/2019,21.56867
9/2/2019,22.767134
9/3/2019,22.51454
9/4/2019,21.796309
9/5/2019,22.761099
9/6/2019,22.153149
9/7/2019,22.548977
9/8/2019,22.561689
9/9/2019,22.28739
9/10/2019,21.911144
9/11/2019,20.899321
9/12/2019,20.922277
9/13/2019,20.887466
9/14/2019,21.071585
9/15/2019,20.59894
9/16/2019,20.398512
9/17/2019,21.005367
9/18/2019,22.255444
9/19/2019,21.614601
9/20/2019,21.371471
9/21/2019,21.08218
9/22/2019,20.525558
9/23/2019,19.485477
9/24/2019,16.06769
9/25/2019,16.258373
9/26/2019,15.459808
9/27/2019,15.790263
9/28/2019,15.851419
9/29/2019,15.3051
9/30/2019,15.862675
10/1/2019,15.903211
10/2/2019,15.950048
10/3/2019,15.72676
10/4/2019,15.755114
10/5/2019,15.72358
10/6/2019,15.34898
10/7/2019,16.134346
10/8/2019,16.108192
10/9/2019,17.80658
10/10/2019,17.571154
10/11/2019,16.709532
10/12/2019,17.277906
10/13/2019,18.308025
10/14/2019,18.459478
10/15/2019,18.544653
10/16/2019,17.84005
10/17/2019,18.570269
10/18/2019,18.254192
10/19/2019,18.288546
10/20/2019,18.437923
10/21/2019,18.30555
10/22/2019,18.195602
10/23/2019,16.711174
10/24/2019,16.891573
10/25/2019,18.616058
10/26/2019,18.889704
10/27/2019,19.345646
10/28/2019,19.75832
10/29/2019,20.477106
10/30/2019,20.08695
10/31/2019,20.000233
11/1/2019,20.021502
